iter	Passed	Remaining
156	244	1310
157	245	1307
158	247	1308
159	249	1307
160	250	1305
161	251	1303
162	253	1303
163	281	1434
164	285	1444
165	286	1441
166	290	1449
167	293	1455
168	295	1453
169	297	1451
170	300	1457
171	302	1456
172	304	1455
173	306	1456
174	309	1457
175	311	1456
176	312	1454
177	315	1456
178	317	1455
179	318	1452
180	320	1450
181	322	1449
182	324	1446
183	325	1445
184	327	1443
185	329	1442
186	331	1442
187	333	1440
188	335	1439
189	337	1440
190	339	1439
191	341	1435
192	342	1432
193	344	1430
194	346	1430
195	348	1428
196	349	1426
197	352	1426
198	354	1426
199	356	1424
200	357	1422
201	359	1421
202	362	1422
203	363	1419
204	365	1415
205	366	1412
206	368	1413
207	371	1412
208	372	1409
209	373	1406
210	375	1402
211	377	1402
212	378	1398
213	380	1395
214	381	1392
215	382	1389
216	385	1390
217	387	1388
218	388	1386
219	390	1383
220	391	1381
221	393	1380
222	395	1379
223	397	1377
224	399	1377
225	401	1375
226	402	1372
227	404	1369
228	405	1366
229	407	1365
230	409	1364
231	411	1361
232	412	1358
233	413	1355
234	416	1355
235	417	1352
236	419	1349
237	420	1346
238	422	1343
239	423	1341
240	425	1338
241	426	1335
242	427	1332
243	429	1329
244	431	1330
245	433	1327
246	434	1324
247	435	1321
248	437	1318
249	438	1316
250	440	1314
251	441	1311
252	443	1309
253	445	1307
254	447	1306
255	448	1304
256	450	1301
257	451	1299
258	453	1298
259	455	1296
260	456	1293
261	458	1290
262	459	1287
263	461	1286
264	463	1284
265	464	1281
266	465	1278
267	467	1276
268	468	1274
269	470	1271
270	471	1269
271	473	1266
272	474	1263
273	476	1262
274	477	1259
275	479	1258
276	481	1256
277	483	1256
278	485	1254
279	486	1251
280	488	1250
281	489	1247
282	491	1246
283	494	1245
284	495	1243
285	497	1241
286	499	1240
287	500	1238
288	502	1236
289	504	1234
290	505	1231
291	507	1229
292	508	1227
293	510	1225
294	511	1222
295	512	1220
296	514	1218
297	515	1215
298	517	1213
299	518	1210
300	520	1208
301	522	1206
302	523	1203
303	524	1200
304	526	1199
305	527	1196
306	529	1195
307	530	1192
308	532	1190
309	533	1188
310	535	1185
311	537	1185
312	538	1182
313	540	1180
314	542	1178
315	543	1176
316	545	1174
317	546	1172
318	547	1169
319	549	1167
320	550	1164
321	552	1163
322	553	1160
323	555	1158
324	556	1155
325	558	1154
326	559	1152
327	561	1150
328	562	1148
329	564	1145
330	565	1143
331	567	1142
332	568	1139
333	570	1137
334	571	1134
335	573	1133
336	575	1132
337	577	1130
338	578	1128
339	580	1126
340	582	1125
341	583	1123
342	585	1120
343	586	1118
344	587	1116
345	589	1114
346	591	1112
347	592	1109
348	593	1107
349	595	1105
350	596	1103
351	598	1101
352	599	1099
353	601	1096
354	602	1094
355	604	1093
356	606	1091
357	607	1089
358	608	1086
359	609	1084
360	611	1082
361	613	1080
362	614	1078
363	616	1076
364	617	1073
365	618	1071
366	620	1071
367	622	1068
368	623	1066
369	624	1063
370	626	1061
371	627	1059
372	629	1058
373	630	1055
374	632	1053
375	633	1051
376	635	1050
377	637	1048
378	638	1046
379	639	1044
380	641	1041
381	642	1040
382	644	1038
383	646	1036
384	647	1034
385	648	1032
386	651	1031
387	652	1029
388	653	1027
389	655	1024
390	656	1022
391	658	1021
392	660	1019
393	661	1017
394	662	1015
395	664	1013
396	666	1012
397	668	1011
398	670	1009
399	672	1008
400	674	1007
401	675	1005
402	677	1003
403	678	1001
404	680	999
405	683	999
406	684	997
407	685	994
408	686	992
409	688	990
410	689	988
411	691	987
412	693	985
413	694	982
414	695	980
415	697	979
416	699	977
417	700	975
418	702	973
419	703	971
420	705	969
421	706	967
422	707	965
423	709	963
424	710	961
425	712	959
426	714	958
427	715	956
428	716	954
429	718	952
430	719	950
431	721	948
432	722	946
433	724	944
434	725	942
435	727	940
436	728	938
437	730	936
438	731	934
439	732	932
440	734	931
441	735	929
442	737	927
443	738	925
444	740	923
445	741	921
446	743	919
447	744	917
448	746	915
449	747	913
450	748	911
451	750	909
452	751	907
453	753	906
454	754	904
455	756	902
456	757	900
457	759	898
458	760	896
459	762	894
460	764	893
461	766	892
462	767	890
463	769	888
464	770	886
465	772	885
466	773	883
467	775	881
468	777	879
469	778	877
470	780	876
471	781	874
472	782	872
473	784	870
474	785	868
475	787	867
476	788	865
477	790	863
478	791	861
479	793	859
480	795	858
481	796	855
482	797	853
483	799	851
484	800	850
485	802	848
486	804	846
487	805	844
488	806	842
489	808	841
490	810	839
491	811	837
492	812	836
493	814	834
494	815	832
495	817	830
496	819	828
497	820	826
498	821	824
499	823	823
500	824	821
501	826	819
502	827	817
503	828	815
504	830	813
505	832	812
506	833	810
507	834	808
508	836	806
509	837	804
510	839	803
511	840	801
512	842	799
513	843	797
514	844	795
515	846	793
516	848	792
517	849	790
518	851	789
519	852	787
520	855	786
521	856	784
522	858	782
523	860	781
524	863	780
525	865	779
526	866	777
527	867	775
528	869	773
529	871	772
530	872	770
531	874	768
532	875	767
533	876	765
534	878	763
535	880	762
536	881	760
537	883	758
538	884	756
539	887	756
540	890	755
541	892	754
542	894	753
543	896	751
544	898	750
545	902	750
546	903	748
547	905	746
548	906	744
549	908	743
550	912	743
551	914	742
552	916	740
553	918	739
554	919	737
555	921	735
556	922	734
557	925	733
558	928	732
559	930	731
560	934	731
561	936	730
562	938	728
563	940	726
564	942	725
565	945	724
566	946	722
567	948	721
568	949	719
569	951	718
570	954	716
571	959	717
572	960	715
573	962	714
574	963	712
575	965	710
576	967	709
577	969	707
578	971	706
579	972	704
580	974	702
581	977	701
582	979	700
583	981	699
584	983	697
585	985	696
586	987	694
587	994	696
588	1005	701
589	1009	701
590	1013	701
591	1020	703
592	1022	702
593	1030	704
594	1033	703
595	1043	707
596	1052	710
597	1058	711
598	1062	711
599	1065	710
600	1067	708
601	1070	707
602	1075	708
603	1078	706
604	1080	705
605	1083	704
606	1085	703
607	1088	701
608	1090	700
609	1091	698
610	1093	696
611	1095	694
612	1097	692
613	1098	690
614	1099	688
615	1101	686
616	1103	684
617	1104	682
618	1106	680
619	1107	678
620	1108	676
621	1109	674
622	1111	672
623	1112	670
624	1113	668
625	1115	666
626	1116	664
627	1117	662
628	1119	660
629	1120	657
630	1121	655
631	1122	653
632	1123	651
633	1125	649
634	1126	647
635	1128	645
636	1129	643
637	1130	641
638	1131	639
639	1133	637
640	1134	635
641	1135	633
642	1137	631
643	1138	629
644	1140	627
645	1141	625
646	1143	624
647	1145	622
648	1146	620
649	1148	618
650	1149	616
651	1151	614
652	1152	612
653	1153	610
654	1154	608
655	1156	606
656	1157	604
657	1159	602
658	1160	600
659	1161	598
660	1163	596
661	1164	594
662	1165	592
663	1167	590
664	1168	588
665	1169	586
666	1182	590
667	1210	601
668	1233	610
669	1238	610
670	1245	610
671	1261	615
672	1264	614
673	1267	612
674	1268	610
675	1270	608
676	1272	607
677	1276	606
678	1278	604
679	1280	602
680	1283	601
681	1292	602
682	1297	602
683	1300	600
684	1304	600
685	1308	598
686	1310	596
687	1312	595
688	1314	593
689	1317	591
690	1320	590
691	1349	600
692	1358	601
693	1366	602
694	1506	660
695	1509	659
696	1512	657
697	1515	655
698	1519	654
699	1524	653
700	1528	652
701	1531	650
702	1532	647
703	1534	645
704	1536	642
705	1538	640
706	1540	638
707	1543	636
708	1611	661
709	1616	660
710	1648	670
711	1654	669
712	1658	667
713	1664	666
714	1670	665
715	1675	664
716	1683	664
717	1690	663
718	1693	661
719	1695	659
720	1697	656
721	1699	654
722	1700	651
723	1702	649
724	1704	646
725	1706	644
726	1708	641
727	1710	638
728	1711	636
729	1714	634
730	1716	631
731	1718	629
732	1720	626
733	1721	624
734	1728	623
735	1735	622
736	1740	621
737	1746	620
738	1751	618
739	1753	616
740	1757	614
741	1760	612
742	1763	609
743	1765	607
744	1767	604
745	1769	602
746	1782	603
747	1787	602
748	1789	599
749	1791	597
750	1801	597
751	1803	594
752	1805	592
753	1806	589
754	1808	586
755	1809	584
756	1811	581
757	1812	578
758	1814	576
759	1815	573
760	1816	570
761	1818	568
762	1824	566
763	1828	564
764	1834	563
765	1837	561
766	1839	558
767	1841	556
768	1845	554
769	1847	551
770	1851	549
771	1853	547
772	1856	545
773	1859	543
774	1862	540
775	1881	543
776	1885	541
777	1887	538
778	1888	535
779	1891	533
780	1893	530
781	1895	528
782	1896	525
783	1898	523
784	1900	520
785	1901	517
786	1903	515
787	1904	512
788	1906	509
789	1908	507
790	1909	504
791	1911	501
792	1912	499
793	1914	496
794	1917	494
795	1924	493
796	1929	491
797	1932	489
798	1933	486
799	1935	483
800	1936	481
801	1938	478
802	1939	475
803	1941	473
804	1942	470
805	1944	467
806	1947	465
807	1949	463
808	1951	460
809	1954	458
810	1956	455
811	1958	453
812	1960	450
813	1965	449
814	1967	446
815	1970	444
816	1974	442
817	1977	440
818	1979	437
819	1980	434
820	1983	432
821	1986	430
822	1990	428
823	1995	426
824	2003	425
825	2007	422
826	2010	420
827	2012	417
828	2013	415
829	2017	413
830	2020	410
831	2022	408
832	2023	405
833	2025	403
834	2027	400
835	2029	398
836	2032	395
837	2034	393
838	2036	390
839	2038	388
840	2039	385
841	2042	383
842	2044	380
843	2048	378
844	2051	376
845	2054	373
846	2056	371
847	2057	368
848	2059	366
849	2060	363
850	2062	361
851	2063	358
852	2065	355
853	2066	353
854	2067	350
855	2068	348
856	2070	345
857	2071	342
858	2073	340
859	2074	337
860	2076	335
861	2077	332
862	2079	330
863	2081	327
864	2082	325
865	2084	322
866	2085	319
867	2086	317
868	2088	314
869	2089	312
870	2091	309
871	2092	307
872	2094	304
873	2096	302
874	2098	299
875	2100	297
876	2102	294
877	2104	292
878	2105	289
879	2106	287
880	2108	284
881	2109	282
882	2110	279
883	2112	277
884	2113	274
885	2114	272
886	2115	269
887	2117	267
888	2118	264
889	2119	261
890	2120	259
891	2122	256
892	2123	254
893	2124	251
894	2126	249
895	2127	246
896	2128	244
897	2130	241
898	2131	239
899	2132	236
900	2134	234
901	2135	232
902	2137	229
903	2139	227
904	2141	224
905	2144	222
906	2146	220
907	2149	217
908	2151	215
909	2152	212
910	2153	210
911	2155	207
912	2156	205
913	2160	203
914	2162	200
915	2165	198
916	2167	196
917	2169	193
918	2171	191
919	2173	189
920	2175	186
921	2177	184
922	2178	181
923	2179	179
924	2181	176
925	2182	174
926	2183	171
927	2185	169
928	2186	167
929	2187	164
930	2189	162
931	2190	159
932	2191	157
933	2193	154
934	2194	152
935	2195	150
936	2196	147
937	2198	145
938	2199	142
939	2201	140
940	2202	138
941	2203	135
942	2204	133
943	2206	130
944	2207	128
945	2208	126
946	2210	123
947	2212	121
948	2213	118
949	2215	116
950	2217	114
951	2219	111
952	2221	109
953	2222	107
954	2224	104
955	2225	102
956	2227	100
957	2228	97
958	2229	95
959	2230	92
960	2232	90
961	2233	88
962	2235	85
963	2236	83
964	2237	81
965	2239	78
966	2240	76
967	2241	74
968	2243	71
969	2244	69
970	2245	67
971	2246	64
972	2248	62
973	2249	60
974	2251	57
975	2252	55
976	2254	53
977	2255	50
978	2256	48
979	2258	46
980	2259	43
981	2261	41
982	2263	39
983	2265	36
984	2267	34
985	2268	32
986	2270	29
987	2271	27
988	2273	25
989	2274	22
990	2275	20
991	2276	18
992	2278	16
993	2279	13
994	2281	11
995	2282	9
996	2284	6
997	2285	4
998	2287	2
999	2288	0
